순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
48,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,1,9.79117E+12,77810,810,"2,829"
49,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,1,9.78894E+12,74810,813.7,"2,827"
50,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2023,,9.78895E+12,3810,813.7,"2,795"
51,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,5,9.79119E+12,74810,813.7,"2,778"
52,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,6,9.79117E+12,74810,813.5,"2,773"
53,죽이고 싶은 아이 :이꽃님 장편소설,지은이: 이꽃님,우리학교,2024,2,9.79117E+12,44810,813.7,"2,752"
53,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ,원작: 흔한남매 ;그림: 유난희,미래엔,2022,,9.79117E+12,77810,810,"2,752"
55,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,3,9.78894E+12,74810,813.7,"2,720"
56,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,2,9.78894E+12,74810,813.7,"2,714"
57,생일엔 마라탕,글: 류미정 ;그림: 손수정,밝은미래,2024,2,9.78897E+12,73810,813.7,"2,694"
58,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,4,9.78894E+12,74810,813.7,"2,693"
58,신기한 맛 도깨비 식당 8,"김용세, 김병섭 (지은이), 센개 (그림)",꿈터,2024,8,9.79117E+12,,,"2,693"
60,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,,9.78895E+12,3810,813.7,"2,682"
61,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,10,9.78893E+12,77400,400,"2,679"
62,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,12,9.79117E+12,77400,400,"2,678"
63,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9,9.78893E+12,77400,400,"2,676"
64,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,2,9.79116E+12,74810,816.7,"2,633"
65,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,1,9.79117E+12,74810,980.2,"2,630"
66,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,6,9.78894E+12,73810,813.7,"2,620"
67,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,3,9.79119E+12,74810,813.7,"2,618"
68,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,7,9.78893E+12,77400,400,"2,598"
69,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,4,9.79119E+12,74810,813.7,"2,597"
70,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,9.79116E+12,74810,816.7,"2,589"
71,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,8,9.78893E+12,77400,400,"2,585"
72,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,2,9.79117E+12,77810,810,"2,581"
73,신기한 맛 도깨비 식당 7,"김용세, 김병섭 (지은이), 센개 (그림)",꿈터,2024,7,9.79117E+12,,,"2,565"
74,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,2,9.78893E+12,77400,400,"2,555"
75,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,18,9.79117E+12,77810,810,"2,554"
76,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,11,9.78893E+12,77400,400,"2,549"
76,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79113E+12,77700,710,"2,549"
78,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9.78895E+12,3810,813.7,"2,539"
79,이상한 무인 아이스크림 가게 ,서아람 글 ;안병현 그림,라곰스쿨,2023,,9.79119E+12,73810,813.7,"2,536"
80,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,1,9.79119E+12,74810,813.7,"2,534"
81,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,,9.79119E+12,3830,833.6,"2,521"
82,비스킷 ,글: 김선미,위즈덤하우스,2023,,9.79117E+12,43810,813.7,"2,513"
83,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,3,9.79116E+12,74810,816.7,"2,509"
84,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,1,9.79116E+12,74810,813.7,"2,505"
85,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,2,9.79119E+12,74810,813.7,"2,498"
86,변비 탐정 실룩,이나영 글 ;박소연 그림,인플루엔셜,2023,3,9.79117E+12,74810,813.7,"2,493"
87,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,6,9.79113E+12,74810,813.7,"2,470"
88,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,3,9.79113E+12,77700,710,"2,466"
88,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,3,9.79119E+12,77810,31,"2,466"
90,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,3,9.79116E+12,74810,813.7,"2,465"
91,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,2,9.79119E+12,77810,31,"2,454"
