순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
49,백년허리 :백년 동안 간직할 허리 사용설명서 ,저자: 정선근,언탱글링,2021,2,9.7912E+12,3510,514.325,539
50,고구려 :김진명 역사소설,지은이: 김진명,이타(이타북스),2021,7,9.7912E+12,4810,813.62,538
51,"삶의 실력, 장자 :내면의 두께를 갖춘 자유로운 생산자 ",지은이: 최진석,위즈덤하우스,2025,,9.79117E+12,3100,152.226,536
52,철도원 삼대 :황석영 장편소설 ,지은이: 황석영,창비,2020,,9.78894E+12,3810,813.62,535
52,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,1,9.78897E+12,4810,813.6,535
54,(조용헌의) 내공 :인생은 흐르는 것이 아니라 채우는 것 ,지은이: 조용헌,생각정원,2024,,9.79119E+12,3180,199.1,528
55,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,,9.79119E+12,3100,224.2,527
56,스파이 코스트 ,테스 게리첸 지음 ;박지민 옮김,미래지향,2024,,9.79119E+12,3840,843.6,525
57,어떻게 극단적 소수가 다수를 지배하는가 :우리의 민주주의가 한계에 도달한 이유 ,"스티븐 레비츠키,박세연 옮김",어크로스(어크로스출판그룹),2024,,9.79117E+12,3340,340.22,522
58,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,1,9.78897E+12,4810,813.6,518
59,작은 땅의 야수들 :김주혜 장편소설 ,지은이: 김주혜 ;옮긴이: 박소현,다산북스,2022,,9.79113E+12,3840,843.6,515
60,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,,9.7889E+12,3840,848,504
61,살아 있는 자들을 위한 죽음 수업 :한 법의학자가 수천의 인생을 마주하며 깨달은 삶의 철학 ,이호 지음,웅진씽크빅,2024,,9.7889E+12,3100,126.5,502
61,(원칙으로 수익 내는) 단타의 기술 =상위 1% 주식 트레이더가 지킨 단 하나의 투자 비법 /Rules of day trading ,원정연 지음,길벗,2024,,9.79114E+12,3320,327.856,502
63,진짜 나를 찾아라 ,지은이: 법정,샘터(샘터사),2024,,9.78895E+12,3810,224.2,499
64,코스모스 :특별판 ,칼 세이건 지음 ;홍승수 옮김,사이언스북스,2006,,9.78898E+12,3400,443.1,497
65,아는 만큼 보인다 :한 권으로 읽는 나의 문화유산답사기 ,유홍준 지음,창비,2023,,9.78894E+12,3810,981.102,495
66,그의 운명에 대한 아주 개인적인 생각 ,지은이: 유시민,아름다운사람들,2024,,9.78897E+12,3300,340.911,493
67,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,3,9.78895E+12,4810,813.62,492
68,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,1,9.78897E+12,4810,813.6,489
69,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,,9.79119E+12,3160,165.47,487
70,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,1,9.78897E+12,4810,813.62,486
70,(처음부터 시작하는) 주식투자 단타전략 =Stock investment ,홍인기 지음,길벗,2023,,9.79114E+12,3320,327.856,486
72,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,,9.79114E+12,3810,813.7,479
72,재수사 :장강명 장편소설 ,지은이: 장강명,은행나무,2022,1,9.79117E+12,4810,813.7,479
74,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,9.79116E+12,3810,813.7,475
74,백년허리 :백년 동안 간직할 허리 사용설명서 ,저자: 정선근,언탱글링,2021,1,9.7912E+12,3510,514.325,475
76,"지도로 보아야 보인다 :지도를 펼치지 않고는 지금의 세상을, 다가올 세계를 제대로 볼 수 없다 ","지은이: 에밀리 오브리,옮긴이: 이수진",사이,2024,,9.78899E+12,3300,340.98,472
76,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법 ,정희원 지음,한빛라이프,2023,,9.79119E+12,3510,511.1689,472
78,작별하지 않는다 :큰글자책 ,지은이: 한강,문학동네,2022,,9.78895E+12,3810,813.62,471
