순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.78894E+12,3810,813.62,"9,904"
2,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,,9.78895E+12,3810,813.7,"8,469"
3,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,,9.789E+12,3810,813.62,"8,400"
4,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.78895E+12,3810,813.62,"8,129"
5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,,9.789E+12,3810,813.62,"6,515"
6,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,,9.78894E+12,3810,813.62,"6,176"
7,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,,9.79119E+12,3400,490.99,"5,789"
8,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79119E+12,3810,813.7,"5,634"
9,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,,9.78894E+12,4810,813.7,"5,445"
10,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.78895E+12,3810,813.7,"5,396"
11,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,,9.79119E+12,3810,813.7,"5,384"
12,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79116E+12,3810,813.7,"5,275"
13,채식주의자:한강 연작소설,한강,창비,2007,,9.78894E+12,3810,813.6,"4,973"
14,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,,9.79113E+12,3840,843.6,"4,724"
15,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,,9.78895E+12,3810,813.7,"4,704"
16,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,,9.78896E+12,3810,813.7,"4,692"
17,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,,9.79114E+12,3810,813.7,"4,656"
18,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,,9.79119E+12,3810,813.7,"4,644"
19,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,,9.78895E+12,3810,813.7,"4,486"
20,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,,9.79119E+12,3810,813.7,"4,479"
21,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,,9.78894E+12,3820,823.7,"4,454"
22,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,,9.78894E+12,3810,813.7,"4,396"
23,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,,9.78893E+12,4840,843.6,"4,317"
24,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9.78895E+12,3810,813.7,"4,234"
25,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,,9.79116E+12,3810,813.7,"4,188"
26,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9.79119E+12,3810,813.7,"4,065"
27,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,,9.79114E+12,3810,813.7,"4,051"
28,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,,9.78895E+12,3810,813.62,"4,012"
29,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,,9.79117E+12,3810,813.7,"3,972"
30,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,,9.79119E+12,3810,818,"3,920"
31,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,,9.79116E+12,3810,813.7,"3,873"
32,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,,9.78894E+12,3810,813.7,"3,860"
