순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.78894E+12,3810,813.62,"5,007"
2,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.78895E+12,3810,813.62,"3,962"
3,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79116E+12,3810,813.7,"3,311"
4,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ",지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2024,,9.79119E+12,3900,331.5412,"3,230"
5,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79116E+12,77810,810,"3,142"
6,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,9.79117E+12,77810,810,"3,120"
7,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기 ,지은이: 모건 하우절 ;옮긴이: 이수경,서삼독,2024,,9.7912E+12,3320,327.04,"3,111"
8,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,14,9.79117E+12,77810,810,"3,092"
9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79116E+12,77810,810,"3,066"
10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79117E+12,77810,810,"3,060"
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79116E+12,77810,810,"3,052"
12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79116E+12,77810,810,"3,051"
13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,"3,021"
14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,15,9.79117E+12,77810,810,"3,018"
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,13,9.79117E+12,77810,810,"3,007"
15,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ,벤저민 하디 지음 ;최은아 옮김,상상스퀘어,2023,,9.79119E+12,3320,325.211,"3,007"
17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,"3,004"
18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,16,9.79117E+12,77810,810,"2,998"
19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79116E+12,77810,810,"2,969"
20,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79116E+12,77810,810,"2,953"
