순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
50,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79116E+12,77810,810,"5,310"
51,이 지랄맞음이 쌓여 축제가 되겠지 :조승리 에세이 ,글: 조승리,달 출판사,2024,,9.79116E+12,3810,818,"5,306"
52,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,"5,295"
53,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.78894E+12,74810,813.7,"5,288"
54,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,,9.79117E+12,3830,833.6,"5,286"
55,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,,9.78894E+12,4810,813.7,"5,282"
56,스토너 :존 윌리엄스 장편소설 ,지은이: 존 윌리엄스 ;옮긴이: 김승욱,RHK(알에이치코리아),2015,,9.78893E+12,3840,843.5,"5,212"
56,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,,9.79117E+12,3810,813.7,"5,212"
58,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,,9.78895E+12,3810,813.7,"5,191"
59,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,"5,186"
60,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79116E+12,77810,810,"5,185"
61,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,,9.78894E+12,3810,813.7,"5,090"
62,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,,9.79119E+12,3810,813.7,"5,004"
63,긴긴밤 ,루리 글·그림,문학동네,2021,,9.78895E+12,73810,813.7,"4,959"
64,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.78894E+12,74810,813.7,"4,949"
65,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,6,9.78894E+12,73810,813.7,"4,943"
66,당연하게도 나는 너를 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2023,,9.79117E+12,43810,813.7,"4,902"
67,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,11,9.79117E+12,77400,400,"4,864"
68,저속노화 식사법 :노년내과 의사가 알려주는 기적의 식단 혁명 ,정희원 지음,문학동네,2024,,9.79114E+12,3510,517.52,"4,856"
69,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9,9.79117E+12,77400,400,"4,819"
70,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2023,,9.78895E+12,3810,813.7,"4,813"
71,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,11,9.78893E+12,77400,400,"4,716"
72,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,10,9.79117E+12,77400,400,"4,711"
73,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,5,9.78894E+12,73810,813.7,"4,707"
74,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.78894E+12,74810,813.7,"4,695"
75,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.7912E+12,3810,813.7,"4,688"
76,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,10,9.78893E+12,77400,400,"4,682"
77,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,18,9.79117E+12,77810,810,"4,660"
78,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79116E+12,77400,400,"4,614"
79,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,3,9.79117E+12,74810,813.5,"4,599"
80,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,1,9.79117E+12,74810,813.5,"4,580"
81,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,4,9.79117E+12,74810,813.5,"4,579"
82,시한부 :백은별 장편소설 ,지은이: 백은별,바른북스,2024,,9.79119E+12,3810,813.7,"4,567"
83,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,2,9.79117E+12,74810,813.5,"4,541"
84,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79116E+12,77400,400,"4,537"
85,국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기 ,나민애 지음,김영사,2024,,9.78893E+12,13590,375.471,"4,534"
86,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,6,9.79117E+12,77400,400,"4,516"
87,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79116E+12,77400,400,"4,499"
88,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.78894E+12,74810,813.7,"4,479"
89,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,7,9.79117E+12,77400,400,"4,464"
90,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,,9.78894E+12,3810,813.7,"4,451"
91,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,1,9.79119E+12,74810,813.7,"4,448"
92,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,2,9.78893E+12,77400,400,"4,420"
93,바다가 들리는 편의점 ,마치다 소노코 지음 ;황국영 옮김,바이포엠 스튜디오,2023,,9.79119E+12,3830,833.6,"4,416"
94,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,5,9.79117E+12,74810,813.5,"4,409"
95,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,8,9.78893E+12,77400,400,"4,406"
96,작은 땅의 야수들 :김주혜 장편소설 ,지은이: 김주혜 ;옮긴이: 박소현,다산북스,2022,,9.79113E+12,3840,843.6,"4,405"
97,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,1,9.79117E+12,77810,810,"4,365"
98,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,9.79117E+12,77400,400,"4,362"
99,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8,9.79117E+12,77400,400,"4,339"
100,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,,9.79119E+12,3830,833.6,"4,338"
101,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79116E+12,77400,400,"4,336"
102,우연은 비켜 가지 않는다 :줄리언 반스 장편소설 ,지은이: 줄리언 반스 ;옮긴이: 정영목,다산북스,2024,,9.79113E+12,3840,843.5,"4,329"
