순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
49,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,,9.79117E+12,3830,833.6,675
50,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,,9.78895E+12,3810,813.7,664
51,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9.79119E+12,3810,813.62,661
52,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.78895E+12,3810,813.7,643
53,빛과 실 ,지은이: 한강,문학과지성사,2025,,9.78893E+12,3810,814.7,635
54,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.78897E+12,4840,843.6,631
55,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.78897E+12,4840,843.6,629
56,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,,9.79119E+12,3100,224.2,627
57,"바람이 분다, 가라 :한강 장편소설 ",지은이: 한강,문학과지성사,2021,,9.78893E+12,3810,813.62,622
58,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,,9.78895E+12,3810,816.62,619
59,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,,9.79116E+12,3810,813.7,591
60,마녀와의 7일 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2024,,9.79117E+12,3830,833.6,590
61,너는 다시 외로워질 것이다 :공지영 산문 ,지은이: 공지영,해냄(해냄출판사),2023,,9.79117E+12,3810,814.62,571
61,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,,9.79119E+12,3160,165.47,571
63,빛이 이끄는 곳으로 =백희성 장편소설 /La ou la lumiere me conduit ,지은이: 백희성,책읽어주는남자,2024,,9.79119E+12,3810,813.7,569
64,눈물상자 ,한강 글 ;봄로야 그림,문학동네,2008,,9.78895E+12,3810,813.8,561
65,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,,9.78895E+12,3810,813.7,540
66,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79117E+12,3810,813.7,539
67,내 이름은 태양꽃,한강 동화;김세현 그림,문학동네,2002,,9.78898E+12,3810,813.8,530
68,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,1,9.79117E+12,4840,843.6,526
69,스토너 :존 윌리엄스 장편소설 ,지은이: 존 윌리엄스 ;옮긴이: 김승욱,RHK(알에이치코리아),2015,,9.78893E+12,3840,843.5,523
70,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9.78897E+12,4810,813.62,518
71,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,2,9.79117E+12,4840,843.6,517
72,침묵의 퍼레이드,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2025,,9.79119E+12,,,510
73,풍수전쟁 :김진명 장편소설 ,지은이: 김진명,이타(이타북스),2023,,9.79117E+12,3810,813.62,508
